http://www.imfdb.org/wiki/Crossfire_(Les_Insoumis), Crossfire (Les Insoumis),,,
"http://www.imfdb.org/wiki/Crow,_The", Crow, The,,
"http://www.imfdb.org/wiki/Crown_of_the_Russian_Empire,_or_the_Elusive_Avengers_Again_(Korona_Rossiyskoy_Imperii,_ili_Snova_Neulovimye),_The", Crown of the Russian Empire, or the Elusive Avengers Again (Korona Rossiyskoy Imperii, ili Snova Neulovimye), The
http://www.imfdb.org/wiki/Crusader, Crusader,,,
http://www.imfdb.org/wiki/Cry_of_a_Prostitute_(Quelli_che_contano), Cry of a Prostitute (Quelli che contano),,,
"http://www.imfdb.org/wiki/Cutter,_The", Cutter, The,,
http://www.imfdb.org/wiki/Cutthroat_Island, Cutthroat Island,,,
http://www.imfdb.org/wiki/Cyber_Tracker, Cyber Tracker,,,
http://www.imfdb.org/wiki/Cyborg_2, Cyborg 2,,,
"http://www.imfdb.org/wiki/Cynic,_the_Rat_and_the_Fist,_The", Cynic, the Rat and the Fist, The,
http://www.imfdb.org/wiki/D-Day_(Den%27D), D-Day (Den'D),,,
http://www.imfdb.org/wiki/D.O.A._(1988), D.O.A. (1988),,,
http://www.imfdb.org/wiki/Dangerous_Flowers, Dangerous Flowers,,,
http://www.imfdb.org/wiki/Dangerous_Ground, Dangerous Ground,,,
http://www.imfdb.org/wiki/Daredevil_(2003), Daredevil (2003),,,
"http://www.imfdb.org/wiki/Dark_Knight_Rises,_The", Dark Knight Rises, The,,
"http://www.imfdb.org/wiki/Dark_Knight,_The", Dark Knight, The,,
"http://www.imfdb.org/wiki/Dark_Tower,_The", Dark Tower, The,,
"http://www.imfdb.org/wiki/Darkest_Hour,_The", Darkest Hour, The,,
http://www.imfdb.org/wiki/Day_of_the_Cobra_(Il_giorno_del_Cobra), Day of the Cobra (Il giorno del Cobra),,,
http://www.imfdb.org/wiki/Dead_Bang, Dead Bang,,,
http://www.imfdb.org/wiki/Dead_Heat, Dead Heat,,,
"http://www.imfdb.org/wiki/Dead_Pool,_The", Dead Pool, The,,
http://www.imfdb.org/wiki/Dead_Silence_(1997), Dead Silence (1997),,,
http://www.imfdb.org/wiki/Dead_Snow, Dead Snow,,,
http://www.imfdb.org/wiki/Deadlier_Than_the_Male, Deadlier Than the Male,,,
http://www.imfdb.org/wiki/Death_and_Glory_in_Changde, Death and Glory in Changde,,,
